Date,Location,Minimum Feeling Temperature,ma0imum temperature,average temperature,lowest temperature,Average Relative Humidity,average wind speed(m/s),ma0imum wind speed(m/s),Cold wave warning
2023-01-31,158,-3.1,0.7,-3.9,-10.8,78,0.4,1.9,
2023-01-31,159,-7.8,11,1.5,-7.6,60,1.2,4.5,
2023-01-31,160,-2.3,5.3,-0.5,-10.1,74,1.3,3.2,
2023-01-31,161,-2.8,5.7,0.7,-6.5,73.9,1.4,4.1,
2023-01-31,162,-5.1,5.4,0.1,-8.7,81.3,1.8,4.9,
