Date,Location,DLT,MDT,ADT,DMT,DARH,ADWS,MDWS,CWW
2023-01-06,세종,-0.3,6.3,0.8,-4.4,74.9,0.6,3,X
2023-01-07,세종,-0.2,6.3,2.9,-1.7,59.5,1.8,4.3,X
2023-01-08,세종,2.1,7,0.6,-4.7,66.8,0.4,1.7,X
2023-01-09,세종,-1.8,8.7,1.7,-2.2,62.4,1,4.2,X
2023-01-10,세종,-2.1,8.7,0.7,-5.3,58.3,0.5,2.2,X
2023-01-11,세종,-3.4,9.9,1.8,-4.3,56.5,0.5,2,X
2023-01-12,세종,-4,13.2,4.9,-3,52.6,0.4,1.9,X
2023-01-13,세종,5,13,8.7,4.7,92.5,0.9,2.6,X
2023-01-14,세종,4.5,8.8,7.2,5.5,94.9,0.7,2.7,X
2023-01-15,세종,-5.9,5.6,0.3,-3,80.8,1.4,2.8,X
2023-01-16,세종,-8,0.4,-3.3,-6.1,59.6,1.4,3.5,X
2023-01-17,세종,-9.5,2.1,-2.5,-7,60.3,0.7,2.3,X
2023-01-18,세종,-5.4,3.9,-0.9,-3.8,61.4,1,3.6,X
2023-01-19,세종,-4.3,5,0.5,-5.3,61.1,1.2,3.3,X
2023-01-20,세종,-9.3,3.7,-2,-7.4,51.8,2.9,7.1,O
2023-01-21,세종,-13.4,1.9,-3.7,-9,60.1,1.1,3.3,O
2023-01-22,세종,-6.3,3.8,-0.4,-4.1,59.6,1,2.4,X
2023-01-23,세종,-8.5,7.2,0.3,-3.4,67.5,2,5.2,O
2023-01-24,세종,-21.2,-3.4,-11.4,-14.4,58.9,3.8,6.6,O
2023-01-25,세종,-22.9,-5.2,-11.5,-17.5,51.9,1.5,3.5,O
2023-01-26,세종,-15.4,-4.6,-6.9,-11.7,80.5,0.8,2.5,X
2023-01-27,세종,-14.3,-3.4,-6.8,-11.3,64.5,2.7,7.2,X
2023-01-28,세종,-14.9,-0.6,-5.9,-12.2,67.6,1.4,3.4,X
2023-01-29,세종,-12.4,4.5,-1.7,-9.9,69.9,1.7,4.1,X
2023-01-30,세종,-8.8,4.4,-0.9,-6.2,49.8,1.8,6.8,X
2023-01-31,세종,-3.7,9.3,1.8,-6.8,63.3,1.4,4,X
